Date,Province_State,Active,Confirmed,Deaths,Recovered,Month,Active(Myriad),Confirmed(Myriad),Deaths(Myriad),Recovered(Myriad)
1/1/21,Illinois,963389,963389,17978,0,Jan,0,96.3389,1.7978,0
1/2/21,Illinois,975352,975352,18217,0,Jan,0,97.5352,1.8217,0
1/3/21,Illinois,979821,979821,18322,0,Jan,0,97.9821,1.8322,0
1/4/21,Illinois,984880,984880,18412,0,Jan,0,98.488,1.8412,0
1/5/21,Illinois,991719,991719,18562,0,Jan,0,99.1719,1.8562,0
1/6/21,Illinois,999288,999288,18735,0,Jan,0,99.9288,1.8735,0
1/7/21,Illinois,1008045,1008045,18941,0,Jan,0,100.8045,1.8941,0
1/8/21,Illinois,1017322,1017322,19108,0,Jan,0,101.7322,1.9108,0
1/9/21,Illinois,1024039,1024039,19210,0,Jan,0,102.4039,1.921,0
1/10/21,Illinois,1028750,1028750,19293,0,Jan,0,102.875,1.9293,0
1/11/21,Illinois,1033526,1033526,19363,0,Jan,0,103.3526,1.9363,0
1/12/21,Illinois,1040168,1040168,19497,0,Jan,0,104.0168,1.9497,0
1/13/21,Illinois,1046030,1046030,19617,0,Jan,0,104.603,1.9617,0
1/14/21,Illinois,1052682,1052682,19724,0,Jan,0,105.2682,1.9724,0
1/15/21,Illinois,1059324,1059324,19873,0,Jan,0,105.9324,1.9873,0
1/16/21,Illinois,1064667,1064667,20020,0,Jan,0,106.4667,2.002,0
1/17/21,Illinois,1068829,1068829,20050,0,Jan,0,106.8829,2.005,0
1/18/21,Illinois,1072214,1072214,20118,0,Jan,0,107.2214,2.0118,0
1/19/21,Illinois,1076532,1076532,20153,0,Jan,0,107.6532,2.0153,0
1/20/21,Illinois,1081354,1081354,20285,0,Jan,0,108.1354,2.0285,0
1/21/21,Illinois,1086333,1086333,20423,0,Jan,0,108.6333,2.0423,0
1/22/21,Illinois,1093375,1093375,20534,0,Jan,0,109.3375,2.0534,0
1/23/21,Illinois,1098527,1098527,20645,0,Jan,0,109.8527,2.0645,0
1/24/21,Illinois,1101819,1101819,20680,0,Jan,0,110.1819,2.068,0
1/25/21,Illinois,1104763,1104763,20744,0,Jan,0,110.4763,2.0744,0
1/26/21,Illinois,1108430,1108430,20853,0,Jan,0,110.843,2.0853,0
1/27/21,Illinois,1112181,1112181,20949,0,Jan,0,111.2181,2.0949,0
1/28/21,Illinois,1116372,1116372,21074,0,Jan,0,111.6372,2.1074,0
1/29/21,Illinois,1120528,1120528,21146,0,Jan,0,112.0528,2.1146,0
1/30/21,Illinois,1123873,1123873,21213,0,Jan,0,112.3873,2.1213,0
